code,name
1104083,Akademi Teknologi Adi Unggul Bhirawa
1104012,Akademi Teknologi Warga
1104013,AKPRIND
1104014,Badan  Penelitian dan Pengembangan dan Pendidikan dan Pelatihan
1104015,Badan Koordinasi Keluarga Berencana Nasional
1104063,BKKBN
1104017,Departemen Agama
25A1,Departemen Agama
599A,Departemen ESDM
1104017,Departemen Keuangan
1104018,Departemen Pendidikan dan Kebudayaan
73A1,Departemen Pendidikan Nasional
1104019,Eja Pub
1104020,Fakultas Ilmu Agama
1104021,Ford Foundation
1104022,Gender Universitas Sebelas Maret Surakarta
1104023,IKIP Negeri Singaraja
1104024,Industri Akademi Teknologi Adi Unggul Bhirawa
1104025,Institut Agama Islam Negeri Raden Intan
1104026,Institut Agama Islam Negeri Walisongo Semarang
1104028,Institut Keguruan dan Ilmu Pendidikan Mataram 
1104030,Institut Keguruan dan Ilmu Pendidikan Negeri Singaraja
1104032,Institut Keguruan dan Ilmu Pendidikan PGRI Madiun
1104034,Institut Keguruan dan Ilmu Pendidikan Saraswati Tabanan
1104035,Institut Keguruan dan Ilmu Pendidikan Veteran Semarang
1104037,Institut Pertanian STIPER Yogyakarta
1104041,Institut Seni Indonesia
1104042,Institut Seni Indonesia Padangpanjang  
1104043,Institut Seni Indonesia Surakarta
1104044,Institut Seni Indonesia Yoyakarta
1104045,Institut Seni Rupa Indonesia Denpasar
1104047,Institut Teknologi Adhi Tama Surabaya
1104048,Institut Teknologi Bandung
1104049,Institut Teknologi Bogor
1104050,Institut Teknologi dan Sains Bandung
1104051,Institut Teknologi Nasional
1104053,Institut Teknologi Sepuluh Nopember Surabaya
1104054,Institut Teknologi Telkom Bandung
1104055,ITENAS BANDUNG 
1104056,Jurusan Agronomi Universitas Pembangunan Nasional Veteran Jawa Timur
1104057,Kaldera Pustaka Nusantara
1104058,Kantor Bahasa Propinsi Sulawesi Tenggara
1104059,Kebun Raya Cibodas Lembaga Ilmu Pengetahuan Indonesia
1104060,Kehidupan Keagamaan Departemen Agama
1104061,Kekemasyarakatan dan Kebudayaan Lembaga Ilmu Pengetahuan Indonesia
1104065,Kementerian Agama
1104069,Kepel Press
1104072,Ketransmigrasian
1104073,Komisi Nasional Hak Asasi Manusia
1104074,Lektur Keagamaan
1104075,Lembaga Administrasi Negara
1104080,Lembaga Penjaminan Mutu Pendidikan Sulawesi Selatan
1104082,Organisasi Perburuhan International
1104084,Padma Pustaka
